Filename;Object ID;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;
frame_000722.png;1;MTB; 0; 4; 13; 23; 
frame_000723.png;1;MTB; 0; 3; 17; 24; 
frame_000724.png;1;MTB; 7; 3; 24; 24; 
frame_000725.png;1;MTB; 12; 3; 30; 24; 
frame_000726.png;1;MTB; 17; 3; 38; 25; 
frame_000727.png;1;MTB; 24; 3; 43; 26; 
frame_000728.png;1;MTB; 32; 4; 51; 25; 
frame_000729.png;1;MTB; 39; 4; 59; 26; 
frame_000730.png;1;MTB; 47; 6; 67; 29; 
frame_000731.png;1;MTB; 55; 8; 75; 30; 
frame_000732.png;1;MTB; 62; 10; 79; 32; 
frame_017330.png;1;MTB; 24; 3; 42; 24; 
frame_017331.png;1;MTB; 30; 3; 48; 24; 
frame_017332.png;1;MTB; 37; 4; 55; 25; 
frame_017333.png;1;MTB; 43; 5; 61; 26; 
frame_017334.png;1;MTB; 51; 6; 69; 27; 
frame_017335.png;1;MTB; 59; 8; 77; 29; 
frame_017336.png;1;MTB; 66; 10; 79; 31; 
frame_025242.png;1;MTB; 0; 3; 12; 24; 
frame_025243.png;1;MTB; 1; 3; 16; 24; 
frame_025244.png;1;MTB; 6; 3; 22; 24; 
frame_025245.png;1;MTB; 11; 3; 27; 23; 
frame_025246.png;1;MTB; 16; 3; 33; 23; 
frame_025247.png;1;MTB; 23; 4; 40; 24; 
frame_025248.png;1;MTB; 29; 4; 46; 24; 
frame_025249.png;1;MTB; 35; 5; 52; 25; 
frame_025250.png;1;MTB; 42; 6; 59; 26; 
frame_025251.png;1;MTB; 49; 7; 67; 28; 
frame_025252.png;1;MTB; 56; 8; 75; 30; 
frame_025253.png;1;MTB; 63; 10; 79; 31; 
